,work_year,salary_in_usd,clusters,cluster
2452,2023,135344,1,pink
2453,2023,98432,3,dark purple
2454,2023,174500,0,light pink
2455,2023,113000,1,pink
2456,2023,135000,1,pink
2457,2023,90000,3,dark purple
2458,2023,246080,2,purple
2459,2023,184560,0,light pink
2460,2023,135000,1,pink
2461,2023,90000,3,dark purple
2462,2023,53120,3,dark purple
2463,2023,33686,3,dark purple
2464,2023,260000,2,purple
2465,2023,225000,0,light pink
2466,2023,226600,0,light pink
2467,2023,140100,1,pink
2468,2023,204600,0,light pink
2469,2023,126500,1,pink
2470,2023,340000,2,purple
2471,2023,212000,0,light pink
2472,2023,213600,0,light pink
2473,2023,142400,1,pink
2474,2023,153600,1,pink
2475,2023,106800,1,pink
2476,2023,309000,2,purple
2477,2023,142000,1,pink
2478,2023,125000,1,pink
2479,2023,85000,3,dark purple
2480,2023,226600,0,light pink
2481,2023,140100,1,pink
2482,2023,303050,2,purple
2483,2023,202350,0,light pink
2484,2023,143000,1,pink
2485,2023,95000,3,dark purple
2486,2023,185000,0,light pink
2487,2023,79600,3,dark purple
2488,2023,207900,0,light pink
2489,2023,158400,1,pink
2490,2023,303050,2,purple
2491,2023,202350,0,light pink
2492,2023,385000,2,purple
2493,2023,200000,0,light pink
2494,2023,241300,2,purple
2495,2023,211949,0,light pink
2496,2023,115000,1,pink
2497,2023,90000,3,dark purple
2498,2023,172200,0,light pink
2499,2023,131200,1,pink
2500,2023,105000,1,pink
2501,2023,70000,3,dark purple
2502,2023,253000,2,purple
2503,2023,123800,1,pink
2504,2023,240000,2,purple
2505,2023,142500,1,pink
2506,2023,34924,3,dark purple
2507,2023,330000,2,purple
2508,2023,204000,0,light pink
2509,2023,180000,0,light pink
2510,2023,160000,1,pink
2511,2023,193600,0,light pink
2512,2023,130838,1,pink
2513,2023,225500,0,light pink
2514,2023,139400,1,pink
2515,2023,143000,1,pink
2516,2023,95000,3,dark purple
2517,2023,328133,2,purple
2518,2023,218755,0,light pink
2519,2023,250830,2,purple
2520,2023,143370,1,pink
2521,2023,260000,2,purple
2522,2023,160000,1,pink
2523,2023,203500,0,light pink
2524,2023,166500,0,light pink
2525,2023,180000,0,light pink
2526,2023,162000,1,pink
2527,2023,145000,1,pink
2528,2023,115000,1,pink
2529,2023,180400,0,light pink
2530,2023,138800,1,pink
2531,2023,148350,1,pink
2532,2023,87400,3,dark purple
2533,2023,87500,3,dark purple
2534,2023,62500,3,dark purple
2535,2023,157550,1,pink
2536,2023,104650,1,pink
2537,2023,115500,1,pink
2538,2023,73500,3,dark purple
2539,2023,309000,2,purple
2540,2023,142000,1,pink
2541,2023,139500,1,pink
2542,2023,118575,1,pink
2543,2023,129150,1,pink
2544,2023,98400,3,dark purple
2545,2023,192500,0,light pink
2546,2023,140000,1,pink
2547,2023,67672,3,dark purple
2548,2023,67672,3,dark purple
2549,2023,98010,3,dark purple
2550,2023,66825,3,dark purple
2551,2023,145000,1,pink
2552,2023,130000,1,pink
2553,2023,95000,3,dark purple
2554,2023,80000,3,dark purple
2555,2023,204500,0,light pink
2556,2023,142200,1,pink
2557,2023,120000,1,pink
2558,2023,100000,3,dark purple
2559,2023,190000,0,light pink
2560,2023,170000,0,light pink
2561,2023,155000,1,pink
2562,2023,130000,1,pink
2563,2023,115500,1,pink
2564,2023,73500,3,dark purple
2565,2023,204500,0,light pink
2566,2023,142200,1,pink
2567,2023,170000,0,light pink
2568,2023,120000,1,pink
2569,2023,229000,0,light pink
2570,2023,131000,1,pink
2571,2023,104584,1,pink
2572,2023,92280,3,dark purple
2573,2023,192000,0,light pink
2574,2023,164000,0,light pink
2575,2023,181500,0,light pink
2576,2023,112200,1,pink
2577,2023,223800,0,light pink
2578,2023,172100,0,light pink
2579,2023,258800,2,purple
2580,2023,199200,0,light pink
2581,2023,185000,0,light pink
2582,2023,148000,1,pink
2583,2023,193600,0,light pink
2584,2023,119700,1,pink
2585,2023,175750,0,light pink
2586,2023,136742,1,pink
2587,2023,257400,2,purple
2588,2023,193500,0,light pink
2589,2023,228856,0,light pink
2590,2023,144540,1,pink
2591,2023,170000,0,light pink
2592,2023,140000,1,pink
2593,2023,155000,1,pink
2594,2023,125000,1,pink
2595,2023,170000,0,light pink
2596,2023,140000,1,pink
2597,2023,150600,1,pink
2598,2023,120500,1,pink
2599,2023,176000,0,light pink
2600,2023,152000,1,pink
2601,2023,200000,0,light pink
2602,2023,115500,1,pink
2603,2023,73500,3,dark purple
2604,2023,135344,1,pink
2605,2023,98432,3,dark purple
2606,2023,225000,0,light pink
2607,2023,172758,0,light pink
2608,2023,86128,3,dark purple
2609,2023,67672,3,dark purple
2610,2023,110000,1,pink
2611,2023,85000,3,dark purple
2612,2023,51676,3,dark purple
2613,2023,43064,3,dark purple
2614,2023,245000,2,purple
2615,2023,194992,0,light pink
2616,2023,140000,1,pink
2617,2023,100000,3,dark purple
2618,2023,213800,0,light pink
2619,2023,180300,0,light pink
2620,2023,145000,1,pink
2621,2023,90000,3,dark purple
2622,2023,375500,2,purple
2623,2023,250300,2,purple
2624,2023,250500,2,purple
2625,2023,166600,0,light pink
2626,2023,262269,2,purple
2627,2023,230797,0,light pink
2628,2023,147100,1,pink
2629,2023,90700,3,dark purple
2630,2023,185000,0,light pink
2631,2023,145000,1,pink
2632,2023,123040,1,pink
2633,2023,92280,3,dark purple
2634,2023,98432,3,dark purple
2635,2023,62442,3,dark purple
2636,2023,115000,1,pink
2637,2023,90000,3,dark purple
2638,2023,195000,0,light pink
2639,2023,73500,3,dark purple
2640,2023,155000,1,pink
2641,2023,84800,3,dark purple
2642,2023,185000,0,light pink
2643,2023,145000,1,pink
2644,2023,158900,1,pink
2645,2023,132400,1,pink
2646,2023,140000,1,pink
2647,2023,130000,1,pink
2648,2023,100000,3,dark purple
2649,2023,163800,0,light pink
2650,2023,126000,1,pink
2651,2023,225000,0,light pink
2652,2023,111967,1,pink
2653,2023,205600,0,light pink
2654,2023,105700,1,pink
2655,2023,115500,1,pink
2656,2023,73500,3,dark purple
2657,2023,104000,1,pink
2658,2023,88000,3,dark purple
2659,2023,216027,0,light pink
2660,2023,101028,3,dark purple
2661,2023,48585,3,dark purple
2662,2023,38868,3,dark purple
2663,2023,309400,2,purple
2664,2023,159100,1,pink
2665,2023,142000,1,pink
2666,2023,128000,1,pink
2667,2023,174350,0,light pink
2668,2023,126800,1,pink
2669,2023,226600,0,light pink
2670,2023,140100,1,pink
2671,2023,180000,0,light pink
2672,2023,162000,1,pink
2673,2023,262000,2,purple
2674,2023,186000,0,light pink
2675,2023,185000,0,light pink
2676,2023,79600,3,dark purple
2677,2023,129000,1,pink
2678,2023,95000,3,dark purple
2679,2023,175000,0,light pink
2680,2023,120000,1,pink
2681,2023,92280,3,dark purple
2682,2023,67672,3,dark purple
2683,2023,29691,3,dark purple
2684,2023,130000,1,pink
2685,2023,105000,1,pink
2686,2023,232200,0,light pink
2687,2023,119000,1,pink
2688,2023,268000,2,purple
2689,2023,137500,1,pink
2690,2023,153300,1,pink
2691,2023,104244,1,pink
2692,2023,216000,0,light pink
2693,2023,184000,0,light pink
2694,2023,190000,0,light pink
2695,2023,145000,1,pink
2696,2023,155000,1,pink
2697,2023,135000,1,pink
2698,2023,226000,0,light pink
2699,2023,160000,1,pink
2700,2023,80000,3,dark purple
2701,2023,70000,3,dark purple
2702,2023,198800,0,light pink
2703,2023,122600,1,pink
2704,2023,230000,0,light pink
2705,2023,196000,0,light pink
2706,2023,181500,0,light pink
2707,2023,127000,1,pink
2708,2023,210000,0,light pink
2709,2023,120000,1,pink
2710,2023,385000,2,purple
2711,2023,245000,2,purple
2712,2023,225000,0,light pink
2713,2023,175000,0,light pink
2714,2023,110019,1,pink
2715,2023,86682,3,dark purple
2716,2023,131650,1,pink
2717,2023,105320,1,pink
2718,2023,210000,0,light pink
2719,2023,151800,1,pink
2720,2023,147500,1,pink
2721,2023,112500,1,pink
2722,2023,240000,2,purple
2723,2023,163200,1,pink
2724,2023,134200,1,pink
2725,2023,103200,3,dark purple
2726,2023,65000,3,dark purple
2727,2023,55000,3,dark purple
2728,2023,234000,0,light pink
2729,2023,176000,0,light pink
2730,2023,165400,0,light pink
2731,2023,127300,1,pink
2732,2023,180400,0,light pink
2733,2023,138800,1,pink
2734,2023,107968,1,pink
2735,2023,32811,3,dark purple
2736,2023,185900,0,light pink
2737,2023,129300,1,pink
2738,2023,115500,1,pink
2739,2023,73500,3,dark purple
2740,2023,145000,1,pink
2741,2023,135000,1,pink
2742,2023,126900,1,pink
2743,2023,77900,3,dark purple
2744,2023,85000,3,dark purple
2745,2023,75000,3,dark purple
2746,2023,110736,1,pink
2747,2023,92280,3,dark purple
2748,2023,330000,2,purple
2749,2023,204000,0,light pink
2750,2023,169000,0,light pink
2751,2023,110600,1,pink
2752,2023,115500,1,pink
2753,2023,73500,3,dark purple
2754,2023,168000,0,light pink
2755,2023,130000,1,pink
2756,2023,225500,0,light pink
2757,2023,139400,1,pink
2758,2023,150000,1,pink
2759,2023,140000,1,pink
2760,2023,226000,0,light pink
2761,2023,162000,1,pink
2762,2023,200000,0,light pink
2763,2023,150000,1,pink
2764,2023,195000,0,light pink
2765,2023,160000,1,pink
2766,2023,154000,1,pink
2767,2023,82000,3,dark purple
2768,2023,160000,1,pink
2769,2023,145000,1,pink
2770,2023,239400,2,purple
2771,2023,136800,1,pink
2772,2023,329500,2,purple
2773,2023,269600,2,purple
2774,2023,120000,1,pink
2775,2023,100000,3,dark purple
2776,2023,204500,0,light pink
2777,2023,142200,1,pink
2778,2023,230000,0,light pink
2779,2023,180000,0,light pink
2780,2023,164000,0,light pink
2781,2023,130000,1,pink
2782,2023,169000,0,light pink
2783,2023,91000,3,dark purple
2784,2023,323300,2,purple
2785,2023,184700,0,light pink
2786,2023,145000,1,pink
2787,2023,130000,1,pink
2788,2023,170000,0,light pink
2789,2023,120000,1,pink
2790,2023,210000,0,light pink
2791,2023,136000,1,pink
2792,2023,171250,0,light pink
2793,2023,113750,1,pink
2794,2023,136000,1,pink
2795,2023,104000,1,pink
2796,2023,195000,0,light pink
2797,2023,142000,1,pink
2798,2023,185900,0,light pink
2799,2023,129300,1,pink
2800,2023,194100,0,light pink
2801,2023,152300,1,pink
2802,2023,190000,0,light pink
2803,2023,120000,1,pink
2804,2023,240000,2,purple
2805,2023,157250,1,pink
2806,2023,212000,0,light pink
2807,2023,170000,0,light pink
2808,2023,194400,0,light pink
2809,2023,132192,1,pink
2810,2023,204500,0,light pink
2811,2023,142200,1,pink
2812,2023,174000,0,light pink
2813,2023,134000,1,pink
2814,2023,38868,3,dark purple
2815,2023,152000,1,pink
2816,2023,144700,1,pink
2817,2023,85500,3,dark purple
2818,2023,115500,1,pink
2819,2023,73500,3,dark purple
2820,2023,53120,3,dark purple
2821,2023,38868,3,dark purple
2822,2023,200000,0,light pink
2823,2023,160000,1,pink
2824,2023,67500,3,dark purple
2825,2023,46500,3,dark purple
2826,2023,265800,2,purple
2827,2023,177200,0,light pink
2828,2023,222000,0,light pink
2829,2023,115920,1,pink
2830,2023,250000,2,purple
2831,2023,190000,0,light pink
2832,2023,64781,3,dark purple
2833,2023,284310,2,purple
2834,2023,153090,1,pink
2835,2023,324000,2,purple
2836,2023,159000,1,pink
2837,2023,204500,0,light pink
2838,2023,142200,1,pink
2839,2023,309000,2,purple
2840,2023,142000,1,pink
2841,2023,247300,2,purple
2842,2023,139700,1,pink
2843,2023,95000,3,dark purple
2844,2023,80000,3,dark purple
2845,2023,130500,1,pink
2846,2023,111000,1,pink
2847,2023,213210,0,light pink
2848,2023,102434,3,dark purple
2849,2023,200000,0,light pink
2850,2023,140000,1,pink
2851,2023,226600,0,light pink
2852,2023,140100,1,pink
2853,2023,225000,0,light pink
2854,2023,156400,1,pink
2855,2023,250000,2,purple
2856,2023,176000,0,light pink
2857,2022,80000,3,dark purple
2858,2023,233400,0,light pink
2859,2023,145300,1,pink
2860,2023,248000,2,purple
2861,2023,149000,1,pink
2862,2023,156450,1,pink
2863,2023,119200,1,pink
2864,2023,115500,1,pink
2865,2023,73500,3,dark purple
2866,2023,185000,0,light pink
2867,2023,120250,1,pink
2868,2023,216000,0,light pink
2869,2023,184000,0,light pink
2870,2023,300000,2,purple
2871,2023,200000,0,light pink
2872,2023,230000,0,light pink
2873,2023,196000,0,light pink
2874,2023,192000,0,light pink
2875,2023,164000,0,light pink
2876,2023,225000,0,light pink
2877,2023,152700,1,pink
2878,2023,192000,0,light pink
2879,2023,164000,0,light pink
2880,2023,115500,1,pink
2881,2023,73500,3,dark purple
2882,2023,64781,3,dark purple
2883,2023,160000,1,pink
